CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
FLT~~FLAT, AK~FLT PAYROLL~~~~1~P00.0
FLU~~NYC FLUSHING, NY~NO STA DATA~~~~~
FLV~~SHERMAN AAF KS, KS~NO STA DATA~~~~~
FLW~~FLORES ISLAND, PORTUGAL~NO STA DATA~~~~~
FLX~KFLX~FALLON NV, NV~FALLON NV~FALLON MUN~39.29.9N~118.44.9W~3959~M08.0
FLY~~FINLEY, AUSTRALIA~NO STA DATA~~~~~
FLZ~~FIMOTEL, AZ~NO STA DATA~~~~~
FMA~SARF~FORMOSA, ARGENTINA~FORMOSA ARGENTINA~FORMOSA~26.12.0S~058.14.0W~193~M03.0
FMB~~PAN AM, ZAIRE REPUBLIC~NO STA DATA~~~~~
FMC~~FIVE MILE, AK~NO STA DATA~~~~~
FMG~~FLAMINGO, COSTA RICA~NO STA DATA~~~~~
FMH~KFMH~FALMOUTH, MA~OTIS ANGB/FALMOUTH MA~OTIS ANGB~41.39.5N~070.31.3W~131~M05.0
FMI~FZRF~KALEMIE, ZAIRE REPUBLIC~KALEMIE ZAIRE~KALEMIE~05.52.0S~029.15.0E~2569~P02.0
FMJ~~MULTIHOST REF, TX~NO STA DATA~~~~~
FMN~KFMN~FARMINGTON NM, NM~FARMINGTON NM~FOUR CORNERS REGL~36.44.5N~108.13.7W~5503~M07.0
FMO~EDDG~MUENSTER, GERMANY~MUNSTER GERMANY~MUNSTER-OSNABRUCK~52.08.0N~007.41.0E~159~P01.0
FMS~~FORT MADISON, IA~SACRAMENTO~FT MADISON MUN~40.39.5N~091.19.6W~1~M05.0
FMX~~MKTNG AUTOMTN MEM, TN~NO STA DATA~~~~~
FMY~KFMY~FORT MYERS PAGE, FL~FT MYERS FL~PAGE~26.35.1N~081.51.7W~18~M05.0
FNA~GFLL~FREETOWN LUNGI, SIERRA LEONE~FREETOWN SIERRA LEONE~LUNGI~08.36.9N~013.11.7W~84~P00.0
FNC~LPFU~FUNCHAL, PORTUGAL~FUNCHAL PORTUGAL~FUNCHAL~32.41.4N~016.46.4W~190~P00.0
FND~~FUND AK ALASKA, AK~NO STA DATA~~~~~
FNE~~FANE, PAPUA NEW GUINE~NO STA DATA~~~~~
FNG~~FADA NGOURMA, BURKINA FASO~NO STA DATA~~~~~
FNH~~FINCHA, ETHIOPIA~NO STA DATA~~~~~
FNI~LFTW~NIMES, FRANCE~NIMES FRANCE~GARONS NAVY~43.45.5N~004.25.0E~308~P01.0
FNJ~~PYONG YANG, NORTH KOREA~NO STA DATA~~~~~
FNL~KFNL~FT COLLINS LOVLND, CO~FORT COLLINS/LOVELAND CO~FT COLLINS-LOVELAND MUN~40.27.1N~105.00.6W~5016~M07.0
FNM~~MOUNT COOK ARLNS, NEW ZEALAND~NO STA DATA~~~~~
FNP~~NOT IN TBL~FLORIANOPLIS BRAZIL~~~~20~M03.0
FNR~~FUNTER, AK~NO STA DATA~~~~~
FNT~KFNT~FLINT, MI~FLINT MI~BISHOP INTL~42.57.9N~083.44.6W~781~M05.0
FNX~~AA PHOENIX SALES, AZ~NO STA DATA~~~~~
FNZ~~AIR NEW ZEALAND, AUSTRALIA~NO STA DATA~~~~~
FOA~~FOULA SHETLAND IS, UNITED KINGDOM~NO STA DATA~~~~~
FOB~~FT BRAGG, CA~NO STA DATA~~~~~
FOC~~FUZHOU, CHINA~NO STA DATA~~~~~
FOD~KFOD~FT DODGE, IA~FORT DODGE IOWA~FT DODGE REGL~42.33.0N~094.11.5W~1157~M06.0
FOE~KFOE~TOPEKA FOE, KS~TOPEKA/FORBES KS~FORBES~38.57.0N~095.39.8W~1080~M06.0
FOG~LIBF~FOGGIA, ITALY~GINO LISA ITALY~GINO LISA~41.25.9N~015.32.1E~266~P01.0
FOH~~FORTE HOTELS, COLOMBIA~NO STA DATA~~~~~
FOK~KFOK~WESTHAMPTON, NY~WESTHAMPTON NY~THE GABRESKI~40.50.6N~072.37.9W~67~M05.0
FOM~~FOUMBAN, CAMEROON~NO STA DATA~~~~~
FON~~SABRE 2 FLD MANAL, TX~NO STA DATA~~~~~
FOO~~NUMFOOR, INDONESIA~NO STA DATA~~~~~
FOP~~FOREST PARK, GA~NO STA DATA~~~~~
FOR~SBFZ~FORTALEZA, BRAZIL~FORTALEZA BRAZIL~PINTO MARTINS~03.46.5S~038.31.9W~82~M03.0
FOS~~FORREST, AUSTRALIA~NO STA DATA~~~~~
FOT~~FORSTER, AUSTRALIA~NO STA DATA~~~~~
FOU~~FOUGAMOU, GABON~NO STA DATA~~~~~
FOX~~SABRE SUB REF, TX~NO STA DATA~~~~~
FOY~~FOYA, LIBERIA~NO STA DATA~~~~~
FPA~KFPA~PAN AMERICAN, FL~FLIGHT PAYROLL~FLIGHT PAYROLL~38.17.9N~093.43.0W~1026~M06.0
FPD~~FANTASIA JT VENT, AUSTRALIA~NO STA DATA~~~~~
FPO~MYGF~FREEPORT BS, BAHAMAS~FREEPORT BAHAMAS~FREEPORT INTL~26.33.3N~078.41.9W~7~M05.0
FPR~KFPR~FT PIERCE, FL~FORT PIERCE FL~ST LUCIE CO INTL~27.29.7N~080.22.0W~26~M05.0
FPS~~GF PSA FALCON TRS, GERMANY~NO STA DATA~~~~~
FPV~~VELIZY AB, FRANCE~NO STA DATA~~~~~
FPY~~PERRY, FL~NO STA DATA~~~~~
FQR~~GF FREQUENT FLYER, BAHRAIN~NO STA DATA~~~~~
FQX~~HORIZON AIR FOCUS, WA~NO STA DATA~~~~~
FRA~EDDF~FRANKFURT, GERMANY~FRANKFURT GERMANY~FRANKFURT/MAIN~50.01.9N~008.34.2E~364~P01.0
FRB~~FORBES, AUSTRALIA~NO STA DATA~~~~~
FRC~~FRANCA, BRAZIL~NO STA DATA~~~~~
FRD~~FRIDAY HARBOR, WA~NO STA DATA~~~~~
FRE~~FERA ISLAND, SOLOMON ISLANDS~NO STA DATA~~~~~
FRF~EDAF~NOT IN TBL~FRANKFURT GERMANY~RHEIN-MAIN AFB~50.02.0N~008.34.2E~386~P01.0
FRG~KFRG~FARMINGDALE, NY~FARMINGDALE NY~REPUBLIC~40.43.7N~073.24.8W~81~M05.0
FRH~~FRENCH LICK, IN~NO STA DATA~~~~~
FRJ~~FREJUS, FRANCE~NO STA DATA~~~~~
FRK~~FREGATE IS, SEYCHELLES~NO STA DATA~~~~~
FRL~LIPK~FORLI, ITALY~FORLI ITALY~FORLI~44.11.7N~012.04.1E~98~P01.0
FRM~~FAIRMONT, MN~NO STA DATA~~~~~
FRO~~FLORO, NORWAY~NO STA DATA~~~~~
FRP~~FRESH WATER BAY, AK~NO STA DATA~~~~~
FRQ~~FERAMIN, PAPUA NEW GUINE~NO STA DATA~~~~~
FRS~MGFL~FLORES, GUATEMALA~FLORES GUATEMALA~SANTA ELENA~16.54.8N~089.52.0W~420~M06.0
FRU~UAFM~BISHKEK, KYRGYZSTAN~BISHKEK, KYRGYZSTAN~MANAS~43.03.7N~074.28.7E~2090~P05.0
FRV~~FRANCEVILLE, GABON~NO STA DATA~~~~~
FRW~FBFT~FRANCISTOWN, BOTSWANA~FRANCISTOWN BOTSWANA~FRANCISTOWN~21.09.5S~027.28.9E~3283~P02.0
FRY~~FRYEBURG, ME~NO STA DATA~~~~~
FSA~~SOUTH AFRICAN AIR, ITALY~NO STA DATA~~~~~
FSB~~THE SMALL HTL CO, AUSTRALIA~NO STA DATA~~~~~
FSC~LFKF~FIGARI, FRANCE~FIGARI FRANCE~FIGARI/SUD CORSE~41.30.1N~009.05.8E~85~P01.0
FSD~KFSD~SIOUX FALLS, SD~SIOUX FALLS SD~FOSS~43.34.8N~096.44.5W~1428~M06.0
FSE~~FORMATOS ESPANOL, TX~NO STA DATA~~~~~
FSF~~S A FIELD COM, FL~NO STA DATA~~~~~
FSG~~SABRE FIELD SVC, OK~FIELD SERVICE GROUP~~~~1~M06.0
FSH~~SABRE SOFTWARE, TX~NO STA DATA~~~~~
FSI~KFSI~FT SILL, OK~FT SILL OKLA~POST AAF~34.39.0N~098.24.1W~1294~M06.0
FSK~~FORT SCOTT, KS~NO STA DATA~~~~~
FSL~~FOSSIL DOWNS, AUSTRALIA~NO STA DATA~~~~~
FSM~KFSM~FT SMITH, AR~FORT SMITH AR~FT SMITH REGL~35.20.1N~094.22.0W~468~M06.0
FSP~LFVP~ST PIERRE MIQ, ST PIERRE MIQUE~ST PIERRE FR.T~ST PIERRE~46.46.4N~056.09.8W~22~M03.0
FSQ~~SINGAPORE AIR, AUSTRALIA~NO STA DATA~~~~~
FSR~~SWISSAIR, AUSTRALIA~NO STA DATA~~~~~
FSS~EGQK~FORRES, UNITED KINGDOM~FORRES UK~KINLOSS UK~57.38.9N~003.33.5W~22~P00.0
FST~KFST~FORT STOCKTON, TX~FT STOCKTON~FT STOCKTON-PECOS CO~30.54.9N~102.54.7W~1~M06.0
FSU~~FT SUMNER, NM~NO STA DATA~~~~~
FSV~~FLT SVC SPVR, TX~NO STA DATA~~~~~
FSW~~SOUTHWEST INSTALL, TX~NO STA DATA~~~~~
FSX~~RESERVED 45, SINGAPORE~NO STA DATA~~~~~
FTA~~FUTUNA ISLAND, VANUATU~STATIONARY STOCKROOM GSWFA~~~~1~P00.0
FTC~~FT COLLIN, CO~NO STA DATA~~~~~
FTD~~RESERVED 46, SINGAPORE~NO STA DATA~~~~~
FTG~~THAI AIRWAYS INTL, AUSTRALIA~DENVER CO~~~~5512~M07.0
FTH~~COUNTRY COMFORT, AUSTRALIA~NO STA DATA~~~~~
FTI~~FITIUTA, US PACIFIC IS~NO STA DATA~~~~~
FTK~~GODMAN AAF KY, KY~NO STA DATA~~~~~
FTL~~FORTUNA LEDGE, AK~NO STA DATA~~~~~
FTR~~COMM LIASON GRP, TX~NO STA DATA~~~~~
FTS~~INTL TVL SVS, FL~UNKNOWN QUEUE NUMBER 77~~~~1~P00.0
FTT~~RESERVED 69, SINGAPORE~NO STA DATA~~~~~
FTU~~FT DAUPHIN, MADAGASCAR~NO STA DATA~~~~~
FTV~~MASVINGO, ZIMBABWE~NO STA DATA~~~~~
FTW~KFTW~FT WORTH MEACHAM, TX~FT WORTH TX/OR FLT DI~FT WORTH MEACHAM INTL~32.49.1N~097.21.7W~710~M06.0
FTX~~FORT ROUSSET, CONGO REPUBLIC~NO STA DATA~~~~~
FTY~KFTY~ATLNTA FULTN CNTY, GA~ATLANTA/FULTON COUNTY GA~FULTON CO-BROWN~33.46.7N~084.31.2W~841~M05.0
FTZ~~ATA FOCUS MANUAL, IN~NO STA DATA~~~~~
FUA~~UA LHR OFFICE, UNITED KINGDOM~NO STA DATA~~~~~
FUB~~FULLEBORN, PAPUA NEW GUINE~NO STA DATA~~~~~
FUC~~FUC OUTBUFF TEST, CANADA~NO STA DATA~~~~~
FUE~GCFV~FUERTEVENTURA, SPAIN~FUERTENVENTURA,CANARY ISLA~FUERTEVENTURA~28.27.0N~013.51.7W~72~P00.0
FUG~~FUYANG CHINA, CHINA~NO STA DATA~~~~~
FUJ~RJFE~FUKUE, JAPAN~FUKUE,JAPAN~FUKUE~32.39.7N~128.50.1E~251~P09.0
FUK~RJFF~FUKUOKA, JAPAN~FUKUOKA, KYUSHU, JAPAN~FUKUOKA~33.34.8N~130.27.2E~30~P09.0
FUL~KFUL~FULLERTON, CA~FULLERTON CA~FULLERTON MUN~33.52.3N~117.58.7W~96~M08.0
FUM~~FUMA, PAPUA NEW GUINE~NO STA DATA~~~~~
FUN~NGFU~FUNAFUTI ATOL, TUVALU~FUNAFUTI ATOLL TUVALU~FUNAFUTI INTL~08.31.6S~179.12.2E~9~P12.0
FUO~~FUOSHAN, CHINA~NO STA DATA~~~~~
FUS~~SERVICE TEAM ROME, ITALY~NO STA DATA~~~~~
FUT~~FUTUNA, WALLIS FUNTA IS~NO STA DATA~~~~~
FVL~~FLORA VALLEY, AUSTRALIA~NO STA DATA~~~~~
FVW~~AIR SOUTH FOCUS, GA~NO STA DATA~~~~~
FWA~KFWA~FT WAYNE, IN~FORT WAYNE IN~FT WAYNE INTL~40.58.7N~085.11.7W~815~M05.0
FWH~~CARSWELL AFB, TX~NO STA DATA~~~~~
FWL~~FAREWELL, AK~NO STA DATA~~~~~
FWM~~FORT WILLIAM, UNITED KINGDOM~NO STA DATA~~~~~
FWT~~PARKS INNS INTL, TX~NO STA DATA~~~~~
FXC~~GLOBUS AND COSMOS, CO~NO STA DATA~~~~~
FXE~KFXE~FT LAUDERDALE EXC, FL~FT LAUDERDALE/EXEC FL~FT LAUDERDALE EXECUTIVE~26.11.8N~080.10.2W~14~M05.0
FXG~~GLOBUS AND COSMOS, CO~NO STA DATA~~~~~
FXL~~RL MULTIHOST REF, TX~NO STA DATA~~~~~
FXM~~FLAXMAN, AK~NO STA DATA~~~~~
FXO~~CUAMBA, MOZAMBIQUE~NO STA DATA~~~~~
FXT~~LEISURE DEVELOP, TX~NO STA DATA~~~~~
FXY~~FOREST CITY, IA~NO STA DATA~~~~~
FYA~~METRO, TX~METRO AIRLINES~~~~1~P00.0
FYC~~CY MULTIHOST REF, TX~NO STA DATA~~~~~
FYM~~FAYETTEVILLE TN, TN~NO STA DATA~~~~~
FYN~~FUYUN, CHINA~NO STA DATA~~~~~
FYO~~SYSTEMONE, TX~NO STA DATA~~~~~
FYT~~FAYA, CHAD~NO STA DATA~~~~~
FYU~~FT YUKON, AK~NO STA DATA~~~~~
FYV~KFYV~FAYETTEVILLE AR, AR~FAYETTEVILLE AR~DRAKE~36.00.3N~094.10.2W~1251~M06.0
FZL~~HAZELTON AIRLINES, AUSTRALIA~NO STA DATA~~~~~
FZO~EGTG~FILTON, UNITED KINGDOM~FILTON UK~FILTON~51.31.1N~002.35.3W~226~P00.0
GAA~~GUAMAL, COLOMBIA~NO STA DATA~~~~~
GAC~~GRACIAS, HONDURAS~NO STA DATA~~~~~
GAD~KGAD~GADSDEN, AL~GADSDEN AL~GADSDEN MUN~33.58.3N~086.05.3W~569~M06.0
GAE~~GABES, TUNISIA~NO STA DATA~~~~~
GAF~~GAFSA, TUNISIA~NO STA DATA~~~~~
GAG~~NOT IN TBL~GAGE OK~~~~2223~M06.0
GAH~~GAYNDAH, AUSTRALIA~NO STA DATA~~~~~
GAI~~GAITHERSBURG, MD~NO STA DATA~~~~~
GAJ~RJSC~YAMAGATA, JAPAN~YAMAGATA,JAPAN~YAMAGATA~38.24.5N~140.22.4E~345~P09.0
GAL~PAGA~GALENA, AK~GALENA, ALASKA~PITKA~64.44.1N~156.56.2W~152~M09.0
GAM~~GAMBELL, AK~NO STA DATA~~~~~
GAN~~GAN ISLAND, MALDIVES~NO STA DATA~~~~~
GAO~MUGT~GUANTANAMO, CUBA~GUANTANAMO,CUBA~GUANTANAMO~20.04.8N~075.09.4W~40~M05.0
GAP~~GUSAP, PAPUA NEW GUINE~NO STA DATA~~~~~
GAQ~GAGO~GAO, MALI~GAO MALI~KOROGOUSSOU~16.14.9N~000.00.3W~869~P00.0
GAR~~GARAINA, PAPUA NEW GUINE~NO STA DATA~~~~~
GAS~~GARISSA, KENYA~NO STA DATA~~~~~
GAT~~GAP, FRANCE~NO STA DATA~~~~~
GAU~VEGT~GAUHATI, INDIA~GAUHATI INDIA~GUWAHATI~26.06.2N~091.35.3E~158~P05.5
GAV~~GAG ISLAND, INDONESIA~NO STA DATA~~~~~
GAW~~GANGAW, MYANMAR~NO STA DATA~~~~~
GAX~~GAMBA, GABON~NO STA DATA~~~~~
GAY~~GAYA, INDIA~NO STA DATA~~~~~
GAZ~~GLOBE, AZ~NO STA DATA~~~~~
GBA~~BIG BAY, VANUATU~NO STA DATA~~~~~
GBB~~GARA DJEBILET, ALGERIA~NO STA DATA~~~~~
GBC~~GASUKE, PAPUA NEW GUINE~NO STA DATA~~~~~
GBD~KGBD~GREAT BEND, KS~GREAT BEND KS~GREAT BEND MUN~38.20.6N~098.51.5W~1887~M06.0
GBE~FBSK~GABORONE, BOTSWANA~GABORONE BOTSWANA~KHAMA INTL~24.33.3S~025.55.1E~3299~P02.0
GBF~~NEGARBO, PAPUA NEW GUINE~NO STA DATA~~~~~
GBG~KGBG~GALESBURG, IL~GALESBURG IL~GALESBURG MUN~40.56.2N~090.25.8W~1~M06.0
GBH~~GALBRAITH LAKE, AK~NO STA DATA~~~~~
GBJ~~MARIE GALANTE, GUADELOUPE~NO STA DATA~~~~~
GBK~~GBANGBATOK, SIERRA LEONE~NO STA DATA~~~~~
GBL~~GOULBURN IS, AUSTRALIA~NO STA DATA~~~~~
GBM~~GARBAHAREY, SOMALIA~NO STA DATA~~~~~
GBO~~BALTIMORE GRNBLT, DC~NO STA DATA~~~~~
GBP~~GAMBOOLA, AUSTRALIA~NO STA DATA~~~~~
GBR~~GREAT BARRINGTON, MA~NO STA DATA~~~~~
GBT~~LONDON THEATRE LA, CANADA~NO STA DATA~~~~~
GBU~~KHASHM EL GIRBA, SUDAN~NO STA DATA~~~~~
GBV~~GIBB RIVER, AUSTRALIA~NO STA DATA~~~~~
GBX~~CONTRACT SUPPLIER, TX~NO STA DATA~~~~~
GBY~~GALKAYO, SOMALIA~NO STA DATA~~~~~
GBZ~~GRT BARRIER IS, NEW ZEALAND~NO STA DATA~~~~~
GCA~~GUACAMAYAS, COLOMBIA~NO STA DATA~~~~~
GCB~~SATURNO, SPAIN~NO STA DATA~~~~~
GCC~KGCC~GILLETTE, WY~GILLETTE WY~GILLETTE-CAMPBELL CO~44.20.9N~105.32.3W~4363~M07.0
GCH~~CHARLIE CAR RNTL, PUERTO RICO~NO STA DATA~~~~~
GCI~EGJB~GUERNSEY, UNITED KINGDOM~GUERNSEY, UNITED KINGDOM~GUERNSEY~49.26.1N~002.36.0W~1~P00.0
GCJ~~JOHANNESBURG, SOUTH AFRICA~NO STA DATA~~~~~
GCK~KGCK~GARDEN CITY KS, KS~GARDEN CITY KS~GARDEN CITY REGL~37.55.6N~100.43.4W~2889~M06.0
GCM~MWCR~GRAND CAYMAN, CAYMAN ISLANDS~GRAND CAYMAN ISLES~ROBERTS INTL~19.17.5N~081.21.0W~8~M05.0
GCN~KGCN~GRAND CANYON, AZ~GRAND CANYON NATL PARK~GRAND CANYON NATL PARK~35.57.1N~112.08.8W~6606~M07.0
GCP~~MAS CAPTRE TE GRP, TX~NO STA DATA~~~~~
GCS~~GREECE CUST SVC, GREECE~NO STA DATA~~~~~
GCT~~AS AWARD TVL, WA~NO STA DATA~~~~~
GCY~KGCY~NOT IN TBL~GREENEVILLE TN~GREENEVILLE-GREENE CO MUN~36.11.5N~082.48.9W~1608~M05.0
GDA~~GOUNDA, CENTRAL AFRICA~NO STA DATA~~~~~
GDC~~GREENVL DON CEN, SC~NO STA DATA~~~~~
GDD~~GORDON DOWNS, AUSTRALIA~NO STA DATA~~~~~
GDE~~GODE, ETHIOPIA~NO STA DATA~~~~~
GDF~~PSGR SALES CLT, NC~NO STA DATA~~~~~
GDG~~MAGDAGACHI, RUSSIA~NO STA DATA~~~~~
GDH~~GOLDEN HORN, AK~NO STA DATA~~~~~
GDJ~~GANDAJIKA, ZAIRE REPUBLIC~NO STA DATA~~~~~
GDK~~TAESA FOCUS MANL, MEXICO~NO STA DATA~~~~~
GDL~MMGL~GUADALAJARA, MEXICO~GUADALAJARA MEXICO~GUADALAJARA HIDALGO INTL~20.31.2N~103.18.6W~5012~M06.0
GDN~EPGD~GDANSK, POLAND~GDANSK POLAND~REBIECHOWO~54.22.6N~018.28.0E~488~P01.0
GDO~~GUASQUALITO, VENEZUELA~NO STA DATA~~~~~
GDP~~GUADALUPE, BRAZIL~NO STA DATA~~~~~
GDQ~~GONDAR, ETHIOPIA~NO STA DATA~~~~~
GDT~MBGT~GRAND TURK, TURKS AND CAICO~GRAND TURK ISLND~GRAND TURK INTL~21.26.6N~071.08.5W~13~M04.0
GDV~KGDV~GLENDIVE, MT~GLENDIVE MT~DAWSON COMMUNITY~47.08.3N~104.48.4W~2456~M07.0
GDX~UHMM~MAGADAN, E URAL RUSSIA~MAGADAN~SOKOL~59.54.6N~150.43.1E~574~P11.0
GDZ~~GELENDZIK, UKRAINE~NO STA DATA~~~~~
GEA~~NOUMEA MAGENTA, NEW CALEDONIA~NO STA DATA~~~~~
GEB~~GEBE, INDONESIA~NO STA DATA~~~~~
GEC~~GECITKALE, CYPRUS~NO STA DATA~~~~~
GED~KGED~GEORGETOWN DE, DE~GEORGETOWN~SUSSEX CO~38.41.3N~075.21.5W~51~M05.0
GEE~~GEORGE TOWN, AUSTRALIA~NO STA DATA~~~~~
GEF~~GEVA, SOLOMON ISLANDS~NO STA DATA~~~~~
GEG~KGEG~SPOKANE, WA~SPOKANE WA~SPOKANE INTL~47.37.1N~117.32.0W~2372~M08.0
GEK~~GANES CREEK, AK~NO STA DATA~~~~~
GEL~SBNM~SANTO ANGELO, BRAZIL~SANTO ANGELO BRAZIL~SANTO ANGELO~28.16.9S~054.10.1W~1056~M03.0
GEN~ENGM~OSLO GARDERMOEN, NORWAY~GARDERMOEN OSLO NORWAY~GARDERMOEN~60.12.1N~011.05.1E~672~P01.0
GEO~SYCJ~GEORGETOWN GY, GUYANA~GEORGETOWN GUYANA~CHEDDI JAGAN INTL~06.29.3N~058.15.9W~95~M04.0
GER~MUNG~NUEVA GERONA, CUBA~NUEVA GERONA, CUBA~NUEVA GERONA~21.50.3N~082.46.7W~79~M05.0
GES~~GENERAL SANTOS, PHILIPPINES~NO STA DATA~~~~~
GET~~GERALDTON AU, AUSTRALIA~NO STA DATA~~~~~
GEV~ESNG~GALLIVARE, SWEDEN~GALLIVARE SWEDEN~GALLIVARE~67.08.0N~020.49.0E~1025~P01.0
GEW~~GEWOYA, PAPUA NEW GUINE~NO STA DATA~~~~~
GEX~~GEELONG, AUSTRALIA~NO STA DATA~~~~~
GEY~KGEY~GREYBULL, WY~GREYBULL WY~SOUTH BIG HORN CO~44.30.9N~108.04.9W~3933~M07.0
GFA~~GULF AIR, NY~GREAT FALLS MT~~~~3526~M07.0
GFB~~TOGIAK FISH, AK~NO STA DATA~~~~~
GFC~~GF TRAINING, BAHRAIN~NO STA DATA~~~~~
GFD~~GREENFIELD, IN~NO STA DATA~~~~~
GFE~~GRENFELL, AUSTRALIA~NO STA DATA~~~~~
GFF~~GRIFFITH, AUSTRALIA~NO STA DATA~~~~~
GFG~~GF KMARS, KUWAIT~NO STA DATA~~~~~
GFK~KGFK~GRAND FORKS ND, ND~GRAND FORKS ND~GRAND FORKS INTL~47.56.9N~097.10.5W~844~M06.0
GFL~KGFL~GLENS FALLS, NY~GLENN FALLS NEW YORK~WARREN CO~43.20.4N~073.36.6W~328~M05.0
GFN~~GRAFTON AU, AUSTRALIA~NO STA DATA~~~~~
GFO~~BARTICA, GUYANA~NO STA DATA~~~~~
GFR~~GRANVILLE, FRANCE~NO STA DATA~~~~~
GFT~~TENGO INC, FL~NO STA DATA~~~~~
GFX~~NOT IN TBL~GRAND RAPIDS MICH AMR~~~~1~P00.0
GFY~FYGF~GROOTFONTEIN, SOUTH AFRICA~GROOTFONTEIN SOUTH AFRICA~GROOTFONTEIN~19.36.0S~018.08.0E~4618~P02.0
GFZ~~GULF AIR, AUSTRALIA~NO STA DATA~~~~~
GGC~~LUMBALA, ANGOLA~NO STA DATA~~~~~
GGD~~GREGORY DOWNS, AUSTRALIA~NO STA DATA~~~~~
GGE~KGGE~GEORGETOWN SC, SC~GEORGETOWN SC~GEORGETOWN CO~33.18.7N~079.19.0W~39~M05.0
GGF~~GOGO WORLD VACTNS, NJ~NO STA DATA~~~~~
GGG~KGGG~LONGVIEW, TX~LONGVIEW TX~GREGG CO~32.23.0N~IEW TX~365~M06.0
GGH~~AA SALES, FL~GARRETT APU~~~~1~M06.0
GGL~~GILGAL, COLOMBIA~SONDRESTROM FIR~~~~1~P00.0
GGN~~GAGNOA, IVORY COAST~NO STA DATA~~~~~
GGO~~GUIGLO, IVORY COAST~NO STA DATA~~~~~
GGP~~GP EXPRESS AIR, NE~GARRETT APU~~~~1~P00.0
GGR~~GARDE, SOMALIA~NO STA DATA~~~~~
GGS~~GOBRNADOR GRGOR, ARGENTINA~NO STA DATA~~~~~
GGT~MYEF~GEORGE TOWN BS, BAHAMAS~GEORGETOWN BS~EXUMA INTL~23.33.7N~075.52.5W~5~M05.0
GGW~KGGW~GLASGOW MT, MT~GLASGOW MT~WOKAL/GLASGOW INTL~48.12.7N~106.36.8W~2294~M07.0
GGX~~GOGO TOURS, NJ~NO STA DATA~~~~~
GHA~DAUG~GHARDAIA, ALGERIA~GHARDAIA ALGERIA~NOUMERATE~32.23.0N~003.49.0E~1512~P01.0
GHB~MYEM~GOVERNORS HARBOUR, BAHAMAS~GOVERNORS HARBOUR BAHAMA~GOVERNORS HARBOUR BF~25.17.1N~076.19.8W~23~M05.0
GHC~~GREAT HARBOUR, BAHAMAS~NO STA DATA~~~~~
GHD~~GHIMBI, ETHIOPIA~NO STA DATA~~~~~
GHE~~GARACHINE, PANAMA~NO STA DATA~~~~~
GHF~~GIEBELSTADT, GERMANY~NO STA DATA~~~~~
GHK~~GUSH KATIF, ISRAEL~NO STA DATA~~~~~
GHL~~GARDEN HILL, CANADA~NO STA DATA~~~~~
GHQ~~PRESTON TRAVEL, TX~NO STA DATA~~~~~
GHT~HLGT~GHAT, LIBYA~GHAT LIBYA~GHAT~25.08.2N~010.08.7E~2296~P02.0
GHU~~GUALEGUAYCHU, ARGENTINA~NO STA DATA~~~~~
GHV~~GRAND HERITAGE, AZ~NO STA DATA~~~~~
GIA~~NOT IN TBL~GLOBAL INTERNATIONAL-MKC~~~~1~P00.0
GIB~LXGB~GIBRALTAR, GIBRALTAR~GIBRALTAR AB, UK~GIBRALTAR AB~36.09.1N~005.20.9W~15~P01.0
GIC~~BOIGU ISLAND, AUSTRALIA~NO STA DATA~~~~~
GID~~GITEGA, BURUNDI~NO STA DATA~~~~~
GIF~KGIF~WINTER HAVEN, FL~WINTER HAVEN FL~WINTER HAVEN S-GILBERT~28.03.7N~081.45.1W~146~M05.0
GIG~SBGL~RIO DE JANEIRO, BRAZIL~RIO DE JANEIRO BRAZIL~RIO DE JANEIRO/INTL-GALEAO~22.48.5S~043.15.0W~30~M03.0
GII~~SIGUIRI, GUINEA~NO STA DATA~~~~~
GIL~~GILGIT, PAKISTAN~NO STA DATA~~~~~
GIM~~MIELE MIMBALE, GABON~NO STA DATA~~~~~
GIN~~GARUDA OPERATIONS, INDONESIA~NO STA DATA~~~~~
GIO~~GEILO, NORWAY~NO STA DATA~~~~~
GIR~~GIRADOT, COLOMBIA~NO STA DATA~~~~~
GIS~~GISBORNE, NEW ZEALAND~NO STA DATA~~~~~
GIT~~GEITA, TANZANIA~NO STA DATA~~~~~
GIY~~GIYANI, SOUTH AFRICA~NO STA DATA~~~~~
GIZ~OEGN~GIZAN, SAUDI ARABIA~GIZAN SUADI ARABIA~GIZAN~16.54.0N~042.35.1E~20~P03.0
GJA~~GUANAJA IS , HONDURAS~NO STA DATA~~~~~
GJL~~JIJEL, ALGERIA~NO STA DATA~~~~~
GJM~SBGM~GUAJARAMIRIM, BRAZIL~GUAJARA MIRIM BRAZIL~GUAJARA MIRIM~10.47.2S~065.16.8W~478~M04.0
GJR~~GJOGUR, ICELAND~NO STA DATA~~~~~
GJT~KGJT~GRAND JUNCTION, CO~GRAND JUNCTION CO~WALKER~39.07.3N~108.31.6W~4858~M07.0
GKA~~GOROKA, PAPUA NEW GUINE~NO STA DATA~~~~~
GKE~ETNG~GEILENKIRCHEN, GERMANY~GEILENKIRCHEN~GEILENKIRCHEN AB~50.57.6N~006.02.6E~296~P01.0
GKH~~GORKHA, NEPAL~NO STA DATA~~~~~
GKL~~GREAT KEPPEL IS, AUSTRALIA~NO STA DATA~~~~~
