CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
AMA~KAMA~AMARILLO, TX~AMARILLO TX~AMARILLO INTL~35.13.1N~101.42.3W~3605~M06.0
AMB~YAMB~AMBILOBE, MADAGASCAR~AMBERLEY~AMBERLEY~27.38.5S~152.42.7E~91~P10.0
AMC~~AM TIMAN, CHAD~NO STA DATA~~~~~
AMD~VAAH~AHMEDABAD, INDIA~AHMEDABAD INDIA~AHMEDABAD~23.04.2N~072.37.6E~184~P05.5
AME~~ALTO MOLOCUE, MOZAMBIQUE~NO STA DATA~~~~~
AMF~~FIRSTOURS LAX, CA~NO STA DATA~~~~~
AMG~~AMBOLIN, PAPUA NEW GUINE~NO STA DATA~~~~~
AMH~~ARBA MINTCH, ETHIOPIA~NO STA DATA~~~~~
AMI~~MATARAM, INDONESIA~NO STA DATA~~~~~
AMJ~~ALMENARA, BRAZIL~NO STA DATA~~~~~
AMK~~DURANGO ANIMAS, CO~NO STA DATA~~~~~
AML~~PUERTO ARMUELLAS, PANAMA~NO STA DATA~~~~~
AMM~OJAI~AMMAN, JORDAN~AMMAN JORDAN~QUEEN ALIA INTL~31.43.3N~035.59.6E~2395~P02.0
AMN~KAMN~NOT IN TBL~ALMA MI~GRATIOT COMMUNITY~43.19.3N~084.41.2W~754~M05.0
AMO~~MAO, CHAD~NO STA DATA~~~~~
AMP~~AMPANIHY, MADAGASCAR~NO STA DATA~~~~~
AMQ~WAPP~AMBON, INDONESIA~PATTIMURA INDONESIA~PATTIMURA~03.42.4S~128.05.3E~33~P09.0
AMR~~ARNO, US PACIFIC IS~AIRLINE FREIGHT AUTOMATION~~~~676~M06.0
AMS~EHAM~AMSTERDAM, NETHERLANDS~AMSTERDAM NETHERLANDS~SCHIPHOL~52.18.4N~004.45.8E~1~P01.0
AMT~~AMATA, AUSTRALIA~AMERICAN TRANS AIR-IND~~~~1~P00.0
AMU~~AMANAB, PAPUA NEW GUINE~NO STA DATA~~~~~
AMV~~AMDERMA, RUSSIA~NO STA DATA~~~~~
AMW~KAMW~AMES, IA~AMES IOWA~AMES MUN~41.59.5N~093.37.3W~955~M06.0
AMY~~AMBATOMAINTY, MADAGASCAR~NO STA DATA~~~~~
AMZ~~ARDMORE NZ, NEW ZEALAND~NO STA DATA~~~~~
ANA~~ANAHEIM CALIF , CA~NO STA DATA~~~~~
ANB~KANB~ANNISTON, AL~ANNISTON AL~ANNISTON METRO~33.35.2N~085.51.4W~611~M06.0
ANC~PANC~ANCHORAGE, AK~ANCHORAGE ALASKA~ANCHORAGE INTL~61.10.4N~149.59.7W~144~M09.0
AND~KAND~ANDERSON, SC~ANDERSON SC~ANDERSON CO~34.29.6N~082.42.5W~782~M05.0
ANE~~ANGERS, FRANCE~NO STA DATA~~~~~
ANF~SCFA~ANTOFAGASTA, CHILE~ANTOFAGASTA, CHILE~CERRO MORENO INTL~23.26.4S~070.26.5W~460~M04.0
ANG~LFBU~ANGOULEME, FRANCE~BRIE-CHAMPNIERS FRANCE~BRIE-CHAMPNIERS~45.43.8N~000.13.2E~436~P01.0
ANH~~ANUHA IS RESORT, SOLOMON ISLANDS~NO STA DATA~~~~~
ANI~~ANIAK, AK~NO STA DATA~~~~~
ANJ~~ZANAGA, CONGO REPUBLIC~NO STA DATA~~~~~
ANK~LTAD~ANKARA ETIMESGUT, TURKEY~ANKARA TURKEY~ETIMESGUT AB~39.57.0N~032.41.2E~2622~P02.0
